,train_loss,valid_loss,best_valid_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/learning_rate,config/down_sampling_method,config/d_model,config/decomp_method,config/moving_avg,config/e_layers,config/dropout,config/d_ff,config/alpha_d_ff,logdir
0,0.4150688405220325,1.003550288223085,0.9932923742703029,1724507270,checkpoint_000005,True,True,6,74ecbc1d,2024-08-24_15-47-50,1.6354825496673584,10.478358268737793,1137366,antonio,192.168.1.144,8.099647998809814,4,128,0.01,avg,16,moving_avg,25.0,2,0.1,32,2,74ecbc1d
1,0.44623498110478865,1.0248201441551958,1.0248201441551958,1724507197,checkpoint_000001,True,False,2,8f7dd164,2024-08-24_15-46-37,5.617477655410767,10.497235298156738,1135609,antonio,192.168.1.144,10.497235298156738,2,32,0.0023054601576715525,conv,16,dft_decomp,,3,0.10805265170849054,64,4,8f7dd164
2,0.4709448021191817,1.0136698668911344,1.0136698668911344,1724507199,checkpoint_000001,True,False,2,98c52ddc,2024-08-24_15-46-40,3.9180312156677246,10.603715419769287,1135903,antonio,192.168.1.144,10.603715419769287,2,64,0.000892991124088706,avg,64,moving_avg,15.0,3,0.09871205697651537,192,3,98c52ddc
3,0.41487233363665066,0.9909253865480423,0.9848155890192304,1724507260,checkpoint_000005,True,False,6,e953accf,2024-08-24_15-47-40,11.455992221832275,60.74643421173096,1136271,antonio,192.168.1.144,60.74643421173096,6,64,0.00157875512705329,conv,128,dft_decomp,,2,0.1373956631376794,384,3,e953accf
4,0.5135919868946075,1.0140726367632549,1.0140726367632549,1724507206,checkpoint_000001,True,False,2,ba73153b,2024-08-24_15-46-46,1.750267744064331,4.482792377471924,1136424,antonio,192.168.1.144,4.482792377471924,2,64,0.0019351104492971506,avg,8,moving_avg,25.0,2,0.11866451479783081,16,2,ba73153b
5,646.3292548546424,95.34007388069516,1.4085378504934765,1724507358,checkpoint_000002,True,True,3,1db85602,2024-08-24_15-49-18,51.723142862319946,149.05716705322266,1136744,antonio,192.168.1.144,149.05716705322266,3,128,0.007846204854903772,conv,512,dft_decomp,,2,0.09138395775177267,1536,3,1db85602
6,0.40705576401490434,0.9930446091152373,0.9877780761037555,1724507358,checkpoint_000007,True,False,8,6c6e3b03,2024-08-24_15-49-18,10.525640487670898,86.05288195610046,1137801,antonio,192.168.1.144,86.05288195610046,8,128,0.0033987590186018305,avg,64,dft_decomp,,4,0.0818741926999945,192,3,6c6e3b03
7,0.3702061566813239,1.0461167904237907,1.0040195827328025,1724507419,checkpoint_000007,True,False,8,9e12ede6,2024-08-24_15-50-19,7.486873149871826,58.82997751235962,1138816,antonio,192.168.1.144,58.82997751235962,8,32,0.003643081129953786,conv,32,dft_decomp,,3,0.15188648386064882,96,3,9e12ede6
8,0.420703064835848,1.0050980909062284,1.0050980909062284,1724507486,checkpoint_000002,True,True,3,b4cab713,2024-08-24_15-51-26,48.740731716156006,124.38880228996277,1138891,antonio,192.168.1.144,124.38880228996277,3,16,0.0006777561947145852,avg,256,moving_avg,75.0,3,0.1031939422525546,1024,4,b4cab713
9,0.42162746580747457,0.9995809821855455,0.9991675515969595,1724507523,checkpoint_000005,True,False,6,2b3859e3,2024-08-24_15-52-03,3.077852725982666,21.455504179000854,1141424,antonio,192.168.1.144,14.407357215881348,4,64,0.0013770033902370893,conv,8,dft_decomp,,3,0.09409776375780991,24,3,2b3859e3
10,0.6412605883061201,1.0634787999803113,1.0634787999803113,1724507491,checkpoint_000001,True,False,2,67bf97db,2024-08-24_15-51-31,28.272807836532593,60.922784090042114,1140081,antonio,192.168.1.144,60.922784090042114,2,32,0.001317086582097732,avg,512,dft_decomp,,1,0.09419795423527533,1536,3,67bf97db
11,0.5371915088250087,1.0736622654256367,1.0736622654256367,1724507493,checkpoint_000001,True,False,2,09ffaad1,2024-08-24_15-51-33,1.6141202449798584,5.213955402374268,1140550,antonio,192.168.1.144,5.213955402374268,2,128,0.0010749840537648755,conv,32,dft_decomp,,2,0.0790773066102313,128,4,09ffaad1
12,0.3905077780668552,1.0141594537666865,0.9921557151135945,1724507536,checkpoint_000005,True,True,6,b5486b4f,2024-08-24_15-52-16,2.4382221698760986,15.715131998062134,1141834,antonio,192.168.1.144,11.556437969207764,4,64,0.0073676232994252825,avg,8,moving_avg,35.0,3,0.11149680014511425,24,3,b5486b4f
13,0.4365764978516604,1.029707316841398,1.029707316841398,1724507506,checkpoint_000001,True,True,2,f85c0a90,2024-08-24_15-51-46,7.1581337451934814,11.711636304855347,1140934,antonio,192.168.1.144,11.711636304855347,2,32,0.0031440775136024795,avg,32,moving_avg,35.0,3,0.08773600282202695,128,4,f85c0a90
14,0.513502849982335,1.0216021268140703,1.0216021268140703,1724507635,checkpoint_000001,True,True,2,98db883b,2024-08-24_15-53-55,76.04902362823486,135.83451056480408,1141170,antonio,192.168.1.144,135.83451056480408,2,128,0.0087861420391832,avg,512,moving_avg,75.0,3,0.12501864243720656,1024,2,98db883b
15,0.410738911995521,1.0279016842444737,1.021630393607276,1724507644,checkpoint_000002,True,True,3,b195964a,2024-08-24_15-54-04,30.873668670654297,105.05775260925293,1142236,antonio,192.168.1.144,105.05775260925293,3,64,0.011387741123906897,conv,256,moving_avg,15.0,4,0.10838252501956756,512,2,b195964a
16,0.3301188381981119,1.068029491585635,1.0102960289943785,1724507742,checkpoint_000007,True,True,8,19483edb,2024-08-24_15-55-42,13.43468713760376,105.18152236938477,1142900,antonio,192.168.1.144,105.18152236938477,8,16,0.00953305722976924,avg,64,dft_decomp,,2,0.07178611843667057,192,3,19483edb
17,0.42739624426915096,1.0057657290072668,1.0056138705639612,1724507768,checkpoint_000003,True,True,4,ad137c07,2024-08-24_15-56-08,29.943746089935303,122.3271312713623,1143072,antonio,192.168.1.144,122.3271312713623,4,128,0.001242942573784811,conv,256,moving_avg,25.0,4,0.09223794419115351,768,3,ad137c07
