,epoch,train_loss,valid_loss,time_epoch_s
0,1,0.6610750989895671,1.3259825206228666,3.694807529449463
1,2,0.4462854604154711,1.0122981616074131,3.572779893875122
2,3,0.4231969869456529,1.0061791007007872,3.540121078491211
3,4,0.4155625707801731,0.9897145646668616,3.475553274154663
4,5,0.4107270503409521,0.9971445273785364,3.5194573402404785
5,6,0.4073487804538902,0.9989854086722646,3.500577449798584
6,7,0.4060203414767181,1.0029798283108644,3.3708698749542236
7,8,0.4053534518256498,1.0038486142598448,3.521568775177002
8,9,0.4048075443026663,1.0033351931543577,3.5021274089813232
9,10,0.4044102697536863,1.0022981455993085,3.5078258514404297
