,epoch,train_loss,valid_loss,time_epoch_s
0,1,0.6133622242854192,1.3261326608203707,2.651836395263672
1,2,0.45633189403093777,1.0157715465341295,2.2868235111236572
2,3,0.4221831092467675,0.9865109750202724,2.2922093868255615
3,4,0.40873088653271017,0.9784223536650339,2.279484510421753
4,5,0.3983145282818721,1.012368149700619,2.385349988937378
5,6,0.39116346056644735,0.9972407931373233,2.3847415447235107
6,7,0.3860397050013909,1.0053873587222326,2.3539962768554688
7,8,0.38352507306979255,1.0112375957625253,2.2856884002685547
8,9,0.38225798377623926,1.0104074364616757,2.3612303733825684
9,10,0.3820395189982194,1.0121760879244124,2.3227221965789795
