,epoch,train_loss,valid_loss,time_epoch_s
0,1,0.6628391614327064,1.4299708093915666,2.5766446590423584
1,2,0.4699272829752702,1.0051504941213698,2.1838486194610596
2,3,0.4273479585464184,0.9924802368595487,2.1951675415039062
3,4,0.420019236436257,0.9811440890743619,2.2661335468292236
4,5,0.4158231450961186,0.9778934135323479,2.2221126556396484
5,6,0.41339471890376167,0.9824220623288836,2.2896931171417236
6,7,0.4122293146756979,0.9849784360045478,2.2068417072296143
7,8,0.41135129699340234,0.9822445753074828,2.222336769104004
8,9,0.41105070756031914,0.982082785595031,2.255200147628784
9,10,0.41082469454178444,0.9827297698883783,2.2208170890808105
