,train_loss,valid_loss,best_valid_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/alpha_d_ff,config/batch_size,config/d_model,config/decomp_method/decomp_method,config/down_sampling_method,config/dropout,config/e_layers,config/learning_rate,logdir,config/decomp_method/moving_avg
0,0.41884733507266414,0.9934603877010799,0.9932216675508589,1724448072,checkpoint_000007,True,False,8,1b46ca9a,2024-08-23_23-21-12,2.489955186843872,20.617414712905884,338151,antonio,192.168.1.144,20.617414712905884,8,4,64,8,dft_decomp,avg,0.0990448800935579,4,0.001631158227501476,1b46ca9a,
1,0.35035885916130755,1.0760213847139053,1.0147196282410906,1724448106,checkpoint_000005,True,False,6,c86590d5,2024-08-23_23-21-46,9.557150840759277,53.55801486968994,338241,antonio,192.168.1.144,53.55801486968994,6,3,16,16,dft_decomp,conv,0.09012666779719704,2,0.01064263000037022,c86590d5,
2,0.41619122876570774,0.9850986365761075,0.9850986365761075,1724448141,checkpoint_000007,True,False,8,b427050a,2024-08-23_23-22-21,10.125927448272705,66.96071910858154,339201,antonio,192.168.1.144,66.96071910858154,8,3,64,128,dft_decomp,conv,0.0925162833765015,2,0.001259391180831956,b427050a,
3,0.4276836842184323,1.0028181435274226,0.9999030370797429,1724448232,checkpoint_000003,True,True,4,08d06e1b,2024-08-23_23-23-52,29.169026374816895,124.05751442909241,339950,antonio,192.168.1.144,124.05751442909241,4,3,16,512,dft_decomp,avg,0.10005171002606002,1,0.0008318929334924678,08d06e1b,
4,0.3801876311118786,1.0671398249410449,1.028210780450276,1724448158,checkpoint_000004,True,False,5,7985b085,2024-08-23_23-22-38,2.7135024070739746,14.6439688205719,340447,antonio,192.168.1.144,14.6439688205719,5,2,64,16,moving_avg,conv,0.07431613933182805,3,0.006730655699341551,7985b085,15.0
5,0.3977515262433852,1.0002361051738262,0.9905905970150516,1724448217,checkpoint_000005,True,False,6,c2829e1f,2024-08-23_23-23-37,9.607961416244507,57.21849060058594,340977,antonio,192.168.1.144,57.21849060058594,6,3,32,64,moving_avg,avg,0.07683623441236416,3,0.0011650014804827074,c2829e1f,35.0
6,0.43772477094943707,1.0147170268353962,1.0147170268353962,1724448235,checkpoint_000007,True,False,8,23b298b0,2024-08-23_23-23-55,1.2974624633789062,16.21469783782959,341795,antonio,192.168.1.144,16.21469783782959,8,4,128,16,dft_decomp,conv,0.0753590163357007,2,0.002511404254926715,23b298b0,
7,0.3811119311130964,1.0112715948905264,0.9997580186242149,1724448248,checkpoint_000005,True,False,6,5f34e317,2024-08-23_23-24-08,2.3358590602874756,13.557098865509033,342379,antonio,192.168.1.144,13.557098865509033,6,4,64,8,moving_avg,avg,0.08180975226279208,3,0.010052790919426012,5f34e317,55.0
8,0.5842851387815,1.3786074339988685,1.079803691023872,1724448354,checkpoint_000002,True,True,3,944421fb,2024-08-23_23-25-54,40.956039905548096,117.26144742965698,342639,antonio,192.168.1.144,117.26144742965698,3,4,16,512,moving_avg,conv,0.05999454279983519,1,0.006070584790668805,944421fb,35.0
9,0.4035935401916504,1.0189233365513028,1.0039654019333066,1724448303,checkpoint_000005,True,False,6,e8b4aa6c,2024-08-23_23-25-03,8.690028429031372,52.601807594299316,343186,antonio,192.168.1.144,52.601807594299316,6,4,128,64,moving_avg,conv,0.11884684425154694,4,0.0032240924334661727,e8b4aa6c,15.0
10,0.35810616669526957,1.0213978709209532,0.9944241838086219,1724448412,checkpoint_000006,True,True,7,81045fd9,2024-08-23_23-26-52,13.979228496551514,106.80712985992432,343928,antonio,192.168.1.144,106.80712985992432,7,4,32,128,dft_decomp,conv,0.08618920581912012,3,0.0032161332521737297,81045fd9,
11,0.37557479522237375,1.0242174486851408,1.0051626810537917,1724448426,checkpoint_000004,True,False,5,497ccda9,2024-08-23_23-27-06,11.54252314567566,70.12564444541931,344443,antonio,192.168.1.144,70.12564444541931,5,4,16,32,moving_avg,avg,0.0685366286539392,4,0.002023064828980055,497ccda9,75.0
12,0.36459923315779,1.0412975138141995,1.011732396625337,1724448453,checkpoint_000005,True,False,6,a3e054b8,2024-08-23_23-27-33,7.080868244171143,38.52339506149292,345260,antonio,192.168.1.144,38.52339506149292,6,2,32,16,dft_decomp,avg,0.126638885779985,4,0.007088916976912298,a3e054b8,
13,0.43442679139283985,1.0133411912691026,1.0133411912691026,1724448555,checkpoint_000002,True,True,3,8c8bcab8,2024-08-23_23-29-15,44.873303174972534,126.82693409919739,345667,antonio,192.168.1.144,126.82693409919739,3,2,128,512,dft_decomp,conv,0.10974725729420516,2,0.004616028475869769,8c8bcab8,
14,0.4307525666860434,1.0095317349547432,1.0092884798844655,1724448557,checkpoint_000006,True,True,7,9a298bb2,2024-08-23_23-29-17,12.592781066894531,101.54488897323608,346104,antonio,192.168.1.144,101.54488897323608,7,3,128,128,dft_decomp,avg,0.03907355046545624,3,0.0008815990252248222,9a298bb2,
15,0.4276016808473147,1.0099282889139085,1.0095612491880144,1724448586,checkpoint_000007,True,False,8,e050744f,2024-08-23_23-29-46,3.716099739074707,28.861186504364014,347129,antonio,192.168.1.144,28.861186504364014,8,4,64,32,dft_decomp,avg,0.11313326444448761,2,0.0005834474389940705,e050744f,
16,0.43203049567010665,1.0064676191125597,1.0064676191125597,1724448693,checkpoint_000002,True,True,3,18eb06ff,2024-08-23_23-31-33,46.23056411743164,134.07070970535278,347238,antonio,192.168.1.144,134.07070970535278,3,2,32,512,moving_avg,conv,0.08302184582269503,2,0.0007874187463015802,18eb06ff,25.0
17,0.4015008933927821,0.9851733980079492,0.9851733980079492,1724448697,checkpoint_000005,True,True,6,44512d58,2024-08-23_23-31-37,14.267223119735718,109.25552296638489,348017,antonio,192.168.1.144,109.25552296638489,6,4,32,128,dft_decomp,avg,0.09142939194888641,3,0.001386678468194237,44512d58,
18,0.4639867282830752,1.0711336206822168,1.0711336206822168,1724448714,checkpoint_000007,True,False,8,b4a3ba95,2024-08-23_23-31-54,2.191052198410034,18.49983310699463,348987,antonio,192.168.1.144,18.49983310699463,8,2,128,32,dft_decomp,avg,0.06102074610384979,2,0.0005418796974631459,b4a3ba95,
19,0.39238280297695904,1.0056927221871557,0.9944675179819266,1724448757,checkpoint_000005,True,False,6,efaf8519,2024-08-23_23-32-37,9.021650314331055,58.06788754463196,349143,antonio,192.168.1.144,58.06788754463196,6,2,16,8,dft_decomp,conv,0.11798535366656013,4,0.0021653546679006206,efaf8519,
20,0.3775799252178477,1.0403588966776927,1.001925744737188,1724448760,checkpoint_000004,True,False,5,9aaecd9e,2024-08-23_23-32-40,7.888893127441406,43.614299058914185,349919,antonio,192.168.1.144,43.614299058914185,5,3,16,8,moving_avg,avg,0.08574615620252438,4,0.0026917288040676983,9aaecd9e,75.0
21,0.41090477175182766,0.9927002759206862,0.9924445382895923,1724448841,checkpoint_000007,True,False,8,5a972a50,2024-08-23_23-34-01,15.358685493469238,81.72720909118652,350766,antonio,192.168.1.144,81.72720909118652,8,2,16,64,dft_decomp,avg,0.1088131757058847,3,0.0006767066134725878,5a972a50,
22,0.39128086747337576,1.0124787675837676,0.9954360813079846,1724448811,checkpoint_000007,True,False,8,d491dbe8,2024-08-23_23-33-31,6.127601146697998,48.5204381942749,350919,antonio,192.168.1.144,48.5204381942749,8,2,16,32,dft_decomp,avg,0.08841679656276359,1,0.00350736338472329,d491dbe8,
23,0.4332043946474448,1.0129317618196918,1.0129317618196918,1724448921,checkpoint_000002,True,True,3,53f36249,2024-08-23_23-35-21,41.19589614868164,107.36513566970825,352113,antonio,192.168.1.144,107.36513566970825,3,4,32,512,moving_avg,conv,0.09209471286683422,1,0.001110959647597393,53f36249,75.0
24,0.4203635389988239,1.0095023009039106,1.0086015264193218,1724448865,checkpoint_000007,True,False,8,839ed495,2024-08-23_23-34-25,2.627377986907959,22.130627632141113,352486,antonio,192.168.1.144,22.130627632141113,8,4,64,16,dft_decomp,conv,0.1414077329233074,2,0.0025856772071394508,839ed495,
25,0.4285391110640306,1.0045058982712882,1.0032626532372975,1724448954,checkpoint_000007,True,False,8,7c1e66de,2024-08-23_23-35-54,9.604913473129272,86.59928345680237,353247,antonio,192.168.1.144,86.59928345680237,8,2,128,256,dft_decomp,avg,0.06309285380426805,1,0.001554587008537956,7c1e66de,
26,0.3822711602253019,1.0203676404697555,0.9969943658936591,1724448961,checkpoint_000005,True,False,6,34eef246,2024-08-23_23-36-01,5.547551870346069,37.950759172439575,353921,antonio,192.168.1.144,37.950759172439575,6,2,32,8,dft_decomp,avg,0.11454227720447253,4,0.006155108895561174,34eef246,
27,0.6047822130822588,1.4057618979187239,1.121864239906981,1724449098,checkpoint_000002,True,True,3,8f67d8a0,2024-08-23_23-38-18,48.59421944618225,142.2307472229004,354664,antonio,192.168.1.144,142.2307472229004,3,3,32,512,dft_decomp,avg,0.10749459299869123,2,0.001987040383673968,8f67d8a0,
28,0.3829700382162328,1.0462275130585545,0.9937097364593119,1724449073,checkpoint_000003,True,True,4,1718626d,2024-08-23_23-37-53,27.034719944000244,109.4177634716034,354901,antonio,192.168.1.144,109.4177634716034,4,3,16,128,moving_avg,avg,0.11275548032028908,4,0.0014017610546721896,1718626d,15.0
29,0.4213293520303873,0.9954513368152437,0.9954513368152437,1724449196,checkpoint_000004,True,True,5,8d190b92,2024-08-23_23-39-56,23.027966260910034,120.9412009716034,355746,antonio,192.168.1.144,120.9412009716034,5,2,128,256,moving_avg,avg,0.09581194700722287,3,0.0012177619174732505,8d190b92,25.0
30,0.4011385839332566,0.9908056674259049,0.9842978146459375,1724449178,checkpoint_000007,True,False,8,ca1cee8f,2024-08-23_23-39-38,9.581547260284424,77.92178440093994,355965,antonio,192.168.1.144,77.92178440093994,8,2,32,64,moving_avg,avg,0.10755673832071197,3,0.0016855740820126755,ca1cee8f,35.0
31,0.421226463441191,1.0024405920079775,1.0014528405098688,1724449288,checkpoint_000002,True,True,3,a31bbf69,2024-08-23_23-41-28,36.69837045669556,107.37719893455505,357134,antonio,192.168.1.144,107.37719893455505,3,3,32,256,moving_avg,conv,0.13778358764163456,3,0.001298704963885529,a31bbf69,35.0
32,728948600872575.6,1.3088696545886988e+16,1.167384608870461,1724449363,checkpoint_000001,True,True,2,8f5fab74,2024-08-23_23-42-43,74.01722526550293,164.51139402389526,357334,antonio,192.168.1.144,164.51139402389526,2,4,32,512,dft_decomp,conv,0.12297411951496522,3,0.004831003909328543,8f5fab74,
33,0.388033335807223,1.0119067018940335,0.9956194474583581,1724449320,checkpoint_000004,True,False,5,0235ca4d,2024-08-23_23-42-00,5.784852027893066,30.2947735786438,357933,antonio,192.168.1.144,30.2947735786438,5,3,32,32,dft_decomp,avg,0.06377790242828937,2,0.003963854600167525,0235ca4d,
34,0.42362026887378473,0.999023602299747,0.998807603049846,1724449398,checkpoint_000007,True,False,8,9cf471bf,2024-08-23_23-43-18,9.240097284317017,76.70507502555847,358502,antonio,192.168.1.144,76.70507502555847,8,2,32,64,moving_avg,avg,0.06692368878325008,3,0.0005987453094460454,9cf471bf,75.0
35,0.3550003295999834,1.0581902377307415,1.001186532633645,1724449470,checkpoint_000004,True,True,5,9676ac95,2024-08-23_23-44-30,23.0943546295166,104.30393862724304,359031,antonio,192.168.1.144,104.30393862724304,5,3,16,128,dft_decomp,conv,0.08402778843997957,3,0.0031681743497504506,9676ac95,
36,0.382022743500196,1.0499552062579565,1.0042911086763655,1724449499,checkpoint_000006,True,False,7,7fb38e58,2024-08-23_23-44-59,13.394526481628418,98.89323878288269,359606,antonio,192.168.1.144,98.89323878288269,7,2,128,128,moving_avg,avg,0.1372485290869624,4,0.009615210437847388,7fb38e58,55.0
37,0.40017511801244654,0.9954734985672292,0.9924739519400256,1724449512,checkpoint_000007,True,False,8,43d58fb6,2024-08-23_23-45-12,5.1797096729278564,40.76078534126282,360462,antonio,192.168.1.144,40.76078534126282,8,4,32,8,moving_avg,avg,0.07162120286235375,3,0.0022996457554414775,43d58fb6,75.0
38,0.521654310468513,1.175537788442203,1.0885970635073525,1724449623,checkpoint_000003,True,True,4,5607c746,2024-08-23_23-47-03,30.443793296813965,121.59523105621338,361195,antonio,192.168.1.144,121.59523105621338,4,4,32,512,moving_avg,avg,0.06485950535148399,1,0.003729593055226916,5607c746,55.0
