,epoch,train_loss,valid_loss,time_epoch_s
0,1,0.4926322690538458,0.9880179486230568,17.81545639038086
1,2,0.45977860768296924,0.9668605668235708,18.144695043563843
2,3,0.43786240659827247,0.963264423167264,17.19683837890625
3,4,0.42418111287739224,0.9698835013972389,16.615448236465454
4,5,0.41407986823955156,0.9585556787693942,17.102269649505615
5,6,0.40728950696909466,0.9581329480806986,18.423952102661133
6,7,0.40290885370961294,0.9623236956419768,17.629383087158203
7,8,0.4007350646980343,0.9595635699563556,17.80968952178955
8,9,0.3992970454545878,0.9612627066285522,17.53434181213379
9,10,0.3987949125684229,0.9602902192981155,17.174020051956177
