,epoch,train_loss,valid_loss,time_epoch_s
0,1,0.8818948307975394,1.8479244858026505,1.028757095336914
1,2,0.6512917329053409,1.6278299018740654,0.8296287059783936
2,3,0.6009981954684023,1.6145984046161175,0.8481271266937256
3,4,0.5834560452914629,1.6063390709459782,0.813307523727417
4,5,0.5731075552643322,1.6132377907633781,0.8395750522613525
5,6,0.5670121097173847,1.613563198596239,0.8354489803314209
6,7,0.5638013931571461,1.621346853673458,0.8326265811920166
7,8,0.5614395747419263,1.6216081753373146,0.9113914966583252
8,9,0.5604445152595395,1.6230356842279434,0.8719878196716309
9,10,0.560127754680446,1.622679676860571,0.8518679141998291
