,epoch,train_loss,valid_loss,time_epoch_s
0,1,0.7561817466603222,1.8153717363322224,17.284931898117065
1,2,0.6252039997002342,1.5548050324122111,16.678233861923218
2,3,0.5904502430454598,1.587574914208165,17.002619981765747
3,4,0.5629511323199438,1.603073889237863,16.840603590011597
4,5,0.5496782343568002,1.6338411724125896,16.707497596740723
5,6,0.5424725814343474,1.5993930520834747,16.580156564712524
6,7,0.5391068847998519,1.6246314212127968,16.567869186401367
7,8,0.536803346896708,1.6169959236074376,16.575742483139038
8,9,0.5358644012049419,1.6192956112049244,16.550803422927856
9,10,0.5349843461820685,1.6204009391643384,16.565197467803955
