,id,budget,cost,start_time,end_time
0,1,2.6666666666666665,1.3157724065658374,1724615785.3167987,1724615792.6480556
1,2,2.6666666666666665,1.3172421256701152,1724615792.649463,1724615799.7543964
2,3,2.6666666666666665,,1724615799.7555292,1724615899.8883965
3,1,8.0,1.3157724065658374,1724615899.889941,1724615911.8046503
4,4,8.0,1.3256901628092717,1724615911.8061738,1724615920.009193
5,5,8.0,1.3218506146699955,1724615920.0106678,1724615937.2834535
6,6,2.6666666666666665,1.311564142887409,1724615937.2851882,1724615954.386718
7,7,2.6666666666666665,1.3225461619022565,1724615954.3880682,1724615967.2645187
8,8,2.6666666666666665,1.3193337267790086,1724615967.2662084,1724615974.219588
9,6,8.0,1.3082761565844219,1724615974.2212906,1724616002.2822967
10,9,8.0,1.3040308684487887,1724616002.2845087,1724616060.0304275
11,10,8.0,1.315345586874546,1724616060.0325181,1724616108.9395053
12,11,2.6666666666666665,,1724616108.9418364,1724616209.0902784
13,12,2.6666666666666665,1.3207734349446418,1724616209.091921,1724616216.4164586
14,13,2.6666666666666665,1.3027214604088022,1724616216.4181201,1724616225.3394215
15,13,8.0,1.3027214604088022,1724616225.3412716,1724616239.4387324
16,14,8.0,,1724616239.440984,1724616339.6377583
17,15,8.0,1.2986703301087403,1724616339.639614,1724616382.8596957
18,16,2.6666666666666665,1.317045842514098,1724616382.8625925,1724616399.7769697
19,17,2.6666666666666665,1.3109063354303252,1724616399.778863,1724616422.8261912
20,18,2.6666666666666665,1.3401636528341394,1724616422.8278193,1724616427.1278965
21,17,8.0,1.3109063354303252,1724616427.1299787,1724616465.794263
22,19,8.0,1.2939080181736615,1724616465.7966907,1724616495.6744719
23,20,8.0,1.3099556040463958,1724616495.6766827,1724616557.8288064
24,21,2.6666666666666665,1.317649400387055,1724616557.83179,1724616565.1087568
25,22,2.6666666666666665,1.32017110209716,1724616565.1106763,1724616580.4352725
26,23,2.6666666666666665,1.3101607353626927,1724616580.4457388,1724616594.9400475
27,23,8.0,1.3101607353626927,1724616594.9421532,1724616618.1655962
28,24,8.0,1.3131219918214823,1724616618.168197,1724616653.0436056
29,25,8.0,1.3236106404891381,1724616653.0457857,1724616662.8958826
30,26,2.6666666666666665,1.3489574366494228,1724616662.8988514,1724616670.2954736
31,27,2.6666666666666665,1.3023018286198,1724616670.2975998,1724616692.6360059
32,28,2.6666666666666665,1.3162539706954473,1724616692.6383224,1724616701.8529644
33,27,8.0,1.297402595417409,1724616701.855374,1724616738.7004154
34,29,8.0,1.3296817484535748,1724616738.703446,1724616760.8761687
35,30,8.0,,1724616760.8783748,1724616861.011547
36,31,2.6666666666666665,1.3126344888840082,1724616861.0153692,1724616900.4059808
37,32,2.6666666666666665,1.3306363381837543,1724616900.4081235,1724616934.951824
38,33,2.6666666666666665,1.3306337610671395,1724616934.95404,1724616940.0654156
39,31,8.0,1.3126344888840082,1724616940.067838,1724617004.6566675
40,34,8.0,1.341742353561597,1724617004.659931,1724617019.860599
41,35,8.0,1.2920921527886693,1724617019.8631635,1724617055.1626728
42,36,2.6666666666666665,1.3127783831161788,1724617055.1750712,1724617063.923249
43,37,2.6666666666666665,1.4281083541580393,1724617063.9255111,1724617149.5200052
44,38,2.6666666666666665,1.317488078613701,1724617149.5224395,1724617174.3725033
45,36,8.0,1.310091348388527,1724617174.375021,1724617188.4347634
46,39,8.0,1.319159677395454,1724617188.4382646,1724617207.621762
47,40,8.0,1.3265970192457501,1724617207.6325223,1724617248.2335749
48,41,2.6666666666666665,1.3202541032923927,1724617248.2373416,1724617288.5900183
49,42,2.6666666666666665,1.3102910616112955,1724617288.5926666,1724617308.8606923
50,43,2.6666666666666665,,1724617308.8632584,1724617409.1756747
51,42,8.0,1.3102910616112955,1724617409.1785836,1724617441.7327962
52,44,8.0,1.3170425968292432,1724617441.7364655,1724617452.8945441
53,45,8.0,1.3171186256103027,1724617452.8974097,1724617491.303242
54,46,2.6666666666666665,1.3320057454862093,1724617491.3075693,1724617494.1084938
55,47,2.6666666666666665,1.3109537234789208,1724617494.1112697,1724617502.7164707
56,48,2.6666666666666665,1.3166360100613366,1724617502.718942,1724617519.97874
57,47,8.0,1.3109537234789208,1724617519.981314,1724617533.5778444
58,49,8.0,1.349960160561097,1724617533.5818307,1724617543.3880577
59,50,8.0,,1724617543.3911104,1724617643.5264826
60,51,2.6666666666666665,1.3358470400174458,1724617643.5311437,1724617661.0983753
61,52,2.6666666666666665,1.3263373374938965,1724617661.101319,1724617669.8683891
62,53,2.6666666666666665,1.4253832666497481,1724617669.871154,1724617679.2822351
63,52,8.0,1.3263373374938965,1724617679.2850652,1724617693.3258483
64,54,8.0,1.3151713953568385,1724617693.3297362,1724617711.0089772
65,55,8.0,1.3086279955091356,1724617711.0120215,1724617727.7744794
66,56,2.6666666666666665,1.3294337544685755,1724617727.7794158,1724617737.5632963
67,57,2.6666666666666665,1.3023910511214778,1724617737.5661602,1724617759.9769578
68,58,2.6666666666666665,1.395276295511346,1724617759.9797463,1724617779.6572125
69,57,8.0,1.3023910511214778,1724617779.6602955,1724617816.4901557
70,59,8.0,1.3215148150920868,1724617816.4946852,1724617833.4493802
71,60,8.0,1.2984814598875225,1724617833.4527473,1724617884.6576536
72,61,2.6666666666666665,1.3205537388199253,1724617884.6629882,1724617926.863799
73,62,2.6666666666666665,1.3546675119218947,1724617926.8667939,1724617978.3346527
74,63,2.6666666666666665,1.310666752167237,1724617978.3377185,1724617985.5652113
75,63,8.0,1.310666752167237,1724617985.5684817,1724617996.955813
76,64,8.0,1.3094399758854751,1724617996.9606774,1724618058.346144
77,65,8.0,1.3294362603109093,1724618058.349354,1724618120.7501004
78,66,2.6666666666666665,1.2992196714728133,1724618120.755634,1724618172.6254382
79,67,2.6666666666666665,1.3117495182948777,1724618172.6284747,1724618183.3278134
80,68,2.6666666666666665,1.3271780681761005,1724618183.3309083,1724618192.4568107
81,66,8.0,1.2913924620586372,1724618192.4604597,1724618278.2588396
82,69,8.0,1.3439107300379338,1724618278.2640765,1724618332.8725908
83,70,8.0,1.3224323376228935,1724618332.8763049,1724618373.551454
84,71,2.6666666666666665,1.3399099833086918,1724618373.5571961,1724618379.2639635
85,72,2.6666666666666665,1.323789880061761,1724618379.2671633,1724618385.022305
86,73,2.6666666666666665,,1724618385.0257201,1724618485.217489
87,72,8.0,1.3156767288843791,1724618485.2289107,1724618494.15665
88,74,8.0,,1724618494.162105,1724618594.3227181
89,75,8.0,,1724618594.3263152,1724618694.4796422
90,76,2.6666666666666665,1.3257253468036652,1724618694.4860845,1724618700.5845668
91,77,2.6666666666666665,1.6663422874915295,1724618700.5878942,1724618793.6087384
92,78,2.6666666666666665,1.3180062984808898,1724618793.6121986,1724618800.9383087
93,78,8.0,1.3083506027857463,1724618800.941968,1724618811.9307532
94,79,8.0,1.2840731694728513,1724618811.9363363,1724618852.0395684
95,80,8.0,1.3138472932689595,1724618852.0435743,1724618884.685668
96,81,2.6666666666666665,1.3444353884611375,1724618884.6920867,1724618893.3297195
97,82,2.6666666666666665,1.3133694721928126,1724618893.3332877,1724618900.2633288
98,83,2.6666666666666665,1.3090993210954487,1724618900.266815,1724618977.6577652
99,83,8.0,,1724618977.6616657,1724619077.8132641
100,84,8.0,1.3110068549838247,1724619077.819221,1724619129.6092288
101,85,8.0,,1724619129.6130185,1724619229.8024406
102,86,2.6666666666666665,1.3110034363933756,1724619229.809535,1724619243.624118
103,87,2.6666666666666665,1.3200520567501648,1724619243.6357427,1724619252.3663745
104,88,2.6666666666666665,1.336738230366456,1724619252.370001,1724619255.8249674
105,86,8.0,1.3055134381674514,1724619255.828917,1724619278.1371062
106,89,8.0,1.3574608526168725,1724619278.1428928,1724619355.2017977
107,90,8.0,1.3243159934094078,1724619355.2058394,1724619388.003652
108,91,2.6666666666666665,1.3455083385894173,1724619388.010847,1724619391.8336043
109,92,2.6666666666666665,1.2958247495602957,1724619391.8374467,1724619401.1640048
110,93,2.6666666666666665,1.3130118258344303,1724619401.1676934,1724619417.2871642
111,92,8.0,1.2958247495602957,1724619417.2909918,1724619431.5783584
112,94,8.0,,1724619431.5848129,1724619531.7167397
113,95,8.0,,1724619531.7208514,1724619631.869205
114,96,2.6666666666666665,1.306597112845152,1724619631.8769057,1724619654.8888679
115,97,2.6666666666666665,1.3814064147351663,1724619654.8928616,1724619691.241914
116,98,2.6666666666666665,1.3279104562182176,1724619691.2460315,1724619703.2764819
117,96,8.0,1.3044981971765175,1724619703.2805614,1724619741.026385
118,99,8.0,1.3139920723743927,1724619741.0328488,1724619820.620911
119,100,8.0,,1724619820.6251187,1724619920.7724323
120,101,2.6666666666666665,1.3058540824847886,1724619920.7803736,1724619929.5972743
121,102,2.6666666666666665,1.3153276970753303,1724619929.6013556,1724619968.4117033
122,103,2.6666666666666665,1.3405386476140273,1724619968.4158921,1724620018.9856517
123,101,8.0,1.3058540824847886,1724620018.9900882,1724620033.0676
124,104,8.0,1.317766347998067,1724620033.074642,1724620087.1968207
125,105,8.0,,1724620087.2011015,1724620187.3445313
126,106,2.6666666666666665,1.3051859788924642,1724620187.3527436,1724620246.5268438
127,107,2.6666666666666665,1.3311856812552403,1724620246.5311224,1724620249.744953
128,108,2.6666666666666665,1.311192015806834,1724620249.749386,1724620256.8436427
129,106,8.0,1.3051859788924642,1724620256.8478718,1724620354.8560631
130,109,8.0,1.3337338540539052,1724620354.8633513,1724620405.689544
131,110,8.0,1.2914532065016668,1724620405.6938858,1724620435.271316
132,111,2.6666666666666665,1.3114523728313685,1724620435.2795656,1724620451.8573072
133,112,2.6666666666666665,1.2998753281884223,1724620451.8617513,1724620500.0169632
134,113,2.6666666666666665,1.3129065700297087,1724620500.0212805,1724620512.6196916
135,112,8.0,1.2914774200451449,1724620512.6243863,1724620592.6118007
136,114,8.0,,1724620592.6188712,1724620692.773688
137,115,8.0,1.3115745614736507,1724620692.7783256,1724620718.8273158
138,116,2.6666666666666665,1.3240583855894548,1724620718.8356917,1724620727.4613795
139,117,2.6666666666666665,1.3207972691609309,1724620727.4657285,1724620732.5188344
140,118,2.6666666666666665,1.3146034563199067,1724620732.5233471,1724620776.3061986
141,118,8.0,1.3072210145302308,1724620776.3110037,1724620848.8871572
142,119,8.0,1.3262164075123637,1724620848.894596,1724620922.974874
143,120,8.0,,1724620922.9795752,1724621023.1320689
144,121,2.6666666666666665,1.3003494856478293,1724621023.1412308,1724621031.7822523
145,122,2.6666666666666665,1.34799839948353,1724621031.7867756,1724621058.6647127
146,123,2.6666666666666665,1.3033002418167186,1724621058.669212,1724621083.1104274
147,121,8.0,1.3003494856478293,1724621083.1155555,1724621097.1149583
148,124,8.0,1.315931105915504,1724621097.1229382,1724621117.0987742
149,125,8.0,1.3156376824348788,1724621117.1034212,1724621170.2760634
150,126,2.6666666666666665,1.3325180900402558,1724621170.2853446,1724621177.6364675
151,127,2.6666666666666665,1.2724536153130561,1724621177.6410506,1724621233.4542038
152,128,2.6666666666666665,1.3183302000547066,1724621233.4588897,1724621240.8164907
153,127,8.0,1.2724536153130561,1724621240.8216212,1724621333.402401
154,129,8.0,1.3004463073573536,1724621333.4105968,1724621418.1289668
155,130,8.0,,1724621418.1339622,1724621518.3170795
156,131,2.6666666666666665,1.3247686693301568,1724621518.3269694,1724621540.3502605
157,132,2.6666666666666665,1.3389091133316862,1724621540.3552837,1724621596.9824057
158,133,2.6666666666666665,1.3114949506294877,1724621596.9874327,1724621607.1704168
159,133,8.0,1.3114949506294877,1724621607.1758657,1724621623.86581
160,134,8.0,1.3304357219345961,1724621623.8742964,1724621645.979885
161,135,8.0,1.3385341904665295,1724621645.9849825,1724621660.8362072
162,136,2.6666666666666665,1.3117325733869503,1724621660.84583,1724621667.7545867
