,epoch,train_loss,valid_loss,time_epoch_s
0,1,0.6693195829024682,1.23090955331212,1.0126533508300781
1,2,0.47029623068295995,1.0179798546291532,0.749295711517334
2,3,0.4252592811217675,1.021793122802462,0.7581052780151367
3,4,0.4159849850031046,1.0146593423116774,0.724301815032959
4,5,0.40992511373299817,1.0154517378125871,0.7077882289886475
5,6,0.4064314970603356,1.0081553586891718,0.752732515335083
6,7,0.4034142384162316,1.012234540212722,0.723236083984375
7,8,0.4030248398964222,1.0136887615635282,0.7545554637908936
8,9,0.40207469417498665,1.0124314257076807,0.7735006809234619
9,10,0.4021388828754425,1.011879332008816,0.7239298820495605
